Subject,2026-04,2026-04.1,2026-03,2026-03.1,2026-02,2026-02.1,2026-01,2026-01.1,2025-12,2025-12.1,2025-11,2025-11.1,2025-10,2025-10.1,2025-09,2025-09.1,2025-08,2025-08.1,2025-07,2025-07.1,2025-06,2025-06.1,2025-05,2025-05.1,2025-04,2025-04.1,2025-03,2025-03.1,2025-02,2025-02.1,2025-01,2025-01.1,2024-12,2024-12.1,2024-11,2024-11.1,2024-10,2024-10.1,2024-09,2024-09.1,2024-08,2024-08.1,2024-07,2024-07.1,2024-06,2024-06.1,2024-05,2024-05.1,2024-04,2024-04.1,2024-03,2024-03.1,2024-02,2024-02.1,2024-01,2024-01.1,2023-12,2023-12.1,2023-11,2023-11.1,2023-10,2023-10.1,2023-09,2023-09.1,2023-08,2023-08.1,2023-07,2023-07.1,2023-06,2023-06.1,2023-05,2023-05.1,2023-04,2023-04.1,2023-03,2023-03.1,2023-02,2023-02.1,2023-01,2023-01.1,2022-12,2022-12.1,2022-11,2022-11.1,2022-10,2022-10.1,2022-09,2022-09.1,2022-08,2022-08.1,2022-07,2022-07.1,2022-06,2022-06.1,2022-05,2022-05.1
Neurobiology,,,,,,,2,0,2,1,1,1,3,3,7,7,3,3,1,1,1,0,1,1,4,2,5,4,4,4,14,12,6,6,2,1,7,7,8,7,4,2,7,6,6,5,4,3,,,2,2,,,2,2,,,,,1,1,2,2,,,3,2,1,1,3,3,,,,,2,2,,,1,0,1,1,1,1,3,3,1,0,3,2,4,3,,
Advanced Functions,,,,,1,0,,,1,1,1,1,1,1,2,1,3,3,,,,,1,0,,,5,4,2,1,11,10,8,8,1,1,4,4,8,8,6,6,14,11,5,4,5,5,,,1,1,3,3,1,1,1,1,,,5,5,1,1,1,1,3,2,6,6,1,1,2,2,5,4,3,2,1,1,2,2,3,3,2,2,1,1,3,3,,,2,1,2,2
Quantitative Methods,,,1,0,1,0,1,0,,,,,1,1,1,1,1,1,2,1,1,1,1,0,,,5,4,4,4,7,5,6,5,3,3,5,5,8,6,2,2,14,11,7,6,3,2,,,1,1,1,1,2,2,1,1,,,1,1,,,1,1,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,
British Literature,,,,,,,,,1,1,2,2,3,3,4,2,5,5,4,0,,,3,2,,,4,3,6,6,9,9,8,6,5,4,9,9,7,7,9,8,3,2,14,10,7,4,4,4,1,1,6,6,8,7,2,2,2,2,3,2,2,2,2,2,2,2,1,1,,,2,1,1,1,,,2,1,,,,,1,1,2,1,1,1,3,2,3,1,4,3
French 3,,,2,1,,,,,1,1,4,4,3,2,3,2,1,1,2,1,4,2,3,1,1,1,2,2,8,6,13,10,9,8,7,6,6,4,5,5,4,2,3,3,3,1,6,5,3,3,10,8,5,5,4,4,1,1,5,3,4,4,2,2,1,1,,,4,3,2,2,1,1,,,,,,,,,3,2,1,1,3,3,2,2,4,4,1,1,3,2
French 4,,,2,1,1,0,,,1,1,1,1,2,2,,,1,1,1,0,2,1,1,0,,,2,2,5,3,13,10,9,8,7,6,6,4,5,5,3,1,3,3,3,1,3,2,3,3,9,8,4,4,4,4,1,1,4,3,4,4,1,1,1,1,,,4,3,1,1,1,1,1,1,,,1,1,,,2,2,2,2,2,2,2,2,3,3,1,1,3,2
GRE Analytical Writing,,,,,1,0,,,,,1,1,4,4,1,1,5,2,2,2,6,2,2,0,3,3,3,2,8,8,13,13,5,4,3,2,3,3,10,10,5,5,1,1,3,3,2,1,,,2,1,3,3,3,3,4,4,1,1,4,4,7,7,5,4,3,3,4,3,1,1,3,3,5,5,3,3,,,,,1,1,,,2,2,2,2,3,2,5,4,2,2
PSAT Reading and Writing,,,,,1,1,1,0,,,1,1,4,4,6,6,4,4,2,1,4,1,2,2,,,4,3,6,6,13,13,9,9,2,2,7,7,4,4,3,3,2,0,8,7,10,9,,,2,2,3,3,1,1,3,2,2,2,1,1,,,4,4,4,4,4,4,1,1,,,1,1,1,1,1,1,,,1,1,,,1,1,1,1,1,1,3,3,2,2
Thermodynamics,,,,,,,1,1,2,0,4,3,1,1,3,3,2,1,2,2,5,3,2,2,1,1,4,4,2,2,13,12,7,7,4,4,8,8,11,11,5,4,8,6,8,7,2,2,,,4,3,4,4,3,2,,,1,1,1,1,,,1,0,1,1,,,1,1,,,2,2,1,0,1,1,,,2,2,2,2,2,2,2,2,3,3,1,0,3,2
World Religions,,,,,,,1,0,,,4,4,2,1,4,4,4,1,3,1,3,2,3,0,2,1,4,2,5,4,13,12,7,5,6,6,7,7,2,2,9,9,4,3,5,4,6,4,3,3,2,1,4,4,7,3,3,1,2,1,2,2,3,2,7,5,2,1,,,2,1,1,1,2,2,1,1,2,2,1,1,,,1,1,5,5,,,2,2,,,4,3
Business Ethics,,,,,1,0,1,1,,,1,1,1,1,1,1,1,1,3,1,3,3,4,2,,,6,4,6,5,8,7,6,5,5,5,13,11,6,4,6,6,6,5,4,3,2,1,1,1,2,2,4,3,3,3,3,2,2,2,2,2,,,2,0,1,1,2,2,,,2,2,,,,,,,,,1,1,3,3,1,1,2,2,5,4,2,2,3,2
Mechanical Engineering,,,1,1,2,0,2,2,1,0,4,4,9,8,3,2,3,1,4,1,6,4,3,1,3,2,5,4,3,3,11,10,3,3,1,1,7,7,13,11,3,3,4,2,1,1,2,2,3,3,1,1,4,4,3,3,1,1,9,8,4,3,3,3,,,2,2,1,1,3,3,1,1,1,1,3,2,1,1,1,1,3,2,2,2,1,1,3,3,2,2,2,2,4,3
Abstract Algebra,,,,,,,1,1,,,1,1,,,4,4,5,5,2,1,2,1,1,0,3,3,4,4,2,2,7,6,8,6,7,7,10,10,9,8,7,7,13,9,8,6,6,5,2,1,,,2,2,2,2,2,2,3,3,5,5,3,3,3,3,1,1,2,2,2,2,2,2,2,2,1,0,,,,,,,2,2,3,3,1,1,6,5,3,1,3,2
Plant Biology,,,,,,,,,,,,,,,3,3,1,0,7,3,2,0,2,0,1,1,5,4,2,2,12,11,7,6,2,2,10,9,9,9,8,6,9,6,6,5,13,9,1,1,2,2,6,5,3,3,1,1,4,2,3,3,2,2,1,1,1,1,,,1,1,3,2,1,1,2,1,,,,,2,2,2,2,2,2,1,1,3,1,4,1,,
AP Computer Science A,,,4,1,2,1,5,3,4,3,7,6,6,6,12,9,11,10,4,3,12,7,8,2,5,3,5,4,8,8,11,9,7,6,4,3,7,7,10,6,4,3,4,4,2,2,5,5,3,3,3,3,7,7,4,4,3,3,4,4,4,4,1,1,2,1,3,2,2,2,2,2,1,1,,,1,1,1,1,1,1,2,2,3,3,2,2,2,1,2,1,3,3,1,1
AP Spanish Language & Culture,,,,,1,0,2,0,5,5,6,5,9,8,12,9,4,3,2,1,8,4,2,1,1,1,2,1,4,3,7,6,7,6,1,1,7,7,4,4,2,2,,,1,0,2,2,2,2,4,2,7,6,4,4,1,0,,,2,2,1,1,1,1,1,0,,,,,2,1,,,1,1,,,,,,,1,1,2,2,1,1,2,2,1,1,6,6
College Economics,,,3,2,3,2,2,2,2,2,7,6,5,5,3,3,6,4,5,3,6,2,9,3,2,2,10,9,12,11,7,5,2,2,1,1,4,3,2,2,3,3,3,2,3,3,3,3,1,1,4,4,2,2,5,5,4,4,2,1,3,3,,,4,3,2,0,3,3,3,1,3,3,5,5,6,6,1,1,1,1,2,1,4,4,2,2,2,2,7,4,5,4,4,4
Ancient and Medieval Heritage,,,,,,,,,,,,,1,1,,,2,2,2,1,1,1,1,1,1,1,2,0,4,4,12,11,5,4,3,2,6,5,4,4,3,3,5,2,5,5,7,4,,,1,1,2,2,3,2,,,,,2,1,,,3,3,1,1,,,,,,,,,,,,,,,,,1,1,1,0,,,,,,,,
Anthropology,,,1,1,,,2,2,,,2,2,1,1,4,3,4,3,6,4,2,0,,,2,1,1,1,7,7,12,12,3,1,2,2,4,4,3,3,3,3,3,3,4,4,1,1,,,2,2,1,1,5,3,,,2,1,3,3,2,1,4,2,1,0,,,,,,,1,1,,,,,,,1,1,1,1,1,1,1,1,2,1,,,2,2
High School Political Science,,,,,,,2,2,2,2,1,1,7,6,8,6,7,6,8,3,8,7,9,5,1,1,5,5,7,7,12,9,5,5,5,3,3,3,5,5,2,2,2,2,4,3,2,2,3,3,2,2,3,3,9,7,,,1,0,3,2,2,1,2,0,2,2,1,1,,,2,2,1,1,1,1,,,1,1,1,1,,,1,0,,,1,1,2,1,1,1
Logic,,,,,,,1,0,1,1,1,1,1,0,3,2,1,1,2,0,2,1,1,0,,,4,1,1,0,12,11,5,5,4,3,4,3,9,9,5,4,3,3,5,4,2,0,1,1,,,,,1,1,3,2,1,1,,,3,2,,,1,1,1,1,1,1,,,,,,,,,1,1,,,,,,,,,,,,,1,1
Organic Chemistry 2,,,,,,,,,1,1,2,2,7,7,9,7,9,6,3,2,6,4,3,1,3,3,2,2,6,6,12,11,7,7,4,4,8,8,8,6,3,2,7,7,11,7,6,5,3,3,3,2,2,2,4,3,1,1,1,1,4,4,8,8,5,4,6,4,4,2,2,2,2,1,,,2,2,1,1,1,1,1,0,3,3,3,3,1,1,6,5,5,3,2,1
Physics 2,,,1,1,,,2,0,2,0,5,5,2,2,5,5,3,3,5,2,9,3,6,2,4,2,4,4,1,1,12,11,5,5,5,4,9,9,12,11,6,6,3,3,8,7,3,3,1,1,4,4,5,5,1,0,2,1,2,2,,,2,2,3,3,2,2,3,2,1,1,,,1,1,,,2,2,,,1,1,4,4,1,1,3,3,5,3,1,1,2,0
Piano,,,1,0,3,0,4,2,1,0,4,4,6,6,5,3,5,2,3,2,4,1,5,3,3,0,6,5,5,5,12,11,6,6,,,11,9,5,4,7,6,5,4,5,3,4,2,2,2,3,2,3,2,5,1,4,4,4,2,4,4,5,3,4,3,,,2,2,1,1,,,1,1,2,1,1,1,1,1,1,1,1,1,2,1,2,2,2,1,4,1,3,2
Theology,,,,,,,,,,,2,1,1,0,2,2,2,0,6,2,1,1,,,,,6,4,2,1,12,11,4,4,4,4,4,3,3,3,4,4,1,1,4,3,5,4,1,1,,,1,1,3,2,1,1,,,3,3,2,1,6,3,,,,,,,,,1,1,,,,,,,1,1,,,3,3,,,3,3,2,2,3,1
Women's studies,,,,,,,,,,,1,1,1,1,3,2,8,6,2,1,2,1,2,0,2,1,6,4,3,3,12,10,5,3,4,2,12,11,9,7,7,6,6,6,6,5,4,2,3,2,5,4,2,2,2,1,,,,,1,1,2,1,2,2,,,,,,,1,0,1,1,,,,,,,,,,,,,,,,,1,1,,
High School French,,,1,1,,,,,2,1,2,2,1,1,1,0,,,2,2,2,1,4,1,,,,,7,5,7,6,12,9,6,5,3,2,4,4,4,3,2,1,3,2,5,3,2,2,3,3,1,1,3,3,2,2,2,2,2,2,2,1,1,1,1,1,2,2,1,1,,,,,,,,,,,,,,,1,1,,,,,,,,
Data Analysis,,,1,1,1,0,1,1,,,1,0,1,1,4,4,3,1,3,2,1,0,2,1,1,1,6,5,8,8,7,7,9,8,5,5,12,11,3,3,2,2,5,4,3,2,2,2,,,2,2,7,7,4,3,4,4,1,1,4,4,2,2,1,1,1,1,1,1,,,2,2,1,1,1,1,,,1,1,1,1,4,4,,,2,2,5,4,4,3,4,4
Data Management,,,1,0,1,0,,,,,1,1,,,1,1,4,2,2,0,,,2,0,2,1,3,2,3,3,10,9,4,4,8,8,4,3,3,3,5,5,12,11,6,5,4,3,,,,,,,3,2,3,2,1,1,2,2,3,2,1,1,,,1,1,,,2,2,1,1,1,1,,,3,2,,,1,1,,,1,1,,,,,1,1
IB Mathematics: Analysis and Approaches,,,,,,,,,,,,,1,1,3,2,3,3,2,1,2,1,2,1,4,2,8,6,2,2,8,7,8,8,6,6,4,4,5,5,2,2,12,9,11,10,3,3,3,3,,,1,1,3,3,1,0,2,2,4,4,2,2,1,0,1,1,4,4,2,2,,,2,1,5,4,1,1,1,1,2,2,2,2,4,4,2,1,2,0,2,0,5,4
K12-Substitute-AdvancedCapoeira,,,,,,,,,,,,,11,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Substitute-AllCapoeiraLevels,,,,,,,,,,,,,11,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Finance,,,5,1,3,0,1,0,1,0,2,2,3,3,11,10,3,1,2,2,4,2,6,1,2,2,4,3,6,6,9,7,3,3,3,3,9,8,2,2,4,4,3,2,2,1,3,3,,,3,3,1,1,3,2,3,2,5,2,1,1,2,2,3,3,1,1,3,3,1,1,2,2,3,3,1,1,,,1,0,1,1,2,2,3,3,1,1,3,1,3,2,2,2
High School Accounting,,,3,1,6,2,2,1,2,2,3,3,3,3,11,10,1,1,3,2,3,2,5,3,2,1,5,5,2,2,10,7,6,6,3,3,11,10,8,5,4,1,2,1,4,3,3,2,,,1,1,1,1,4,3,3,2,4,1,3,3,4,4,2,2,4,2,3,3,1,1,3,3,3,3,3,3,,,,,2,2,2,2,3,3,2,2,4,3,6,3,5,3
Managerial Accounting,,,,,4,1,1,1,2,1,3,3,4,3,11,11,3,1,2,2,3,2,4,1,1,1,3,3,6,6,4,3,1,1,1,1,6,5,3,1,5,4,3,2,5,4,2,2,1,1,1,1,3,3,4,3,1,1,1,1,1,0,2,2,1,1,1,1,2,2,3,2,1,1,2,2,3,3,,,1,0,2,2,3,3,3,3,,,3,3,4,4,2,1
Adult Health and Wellness,,,,,,,1,1,1,0,2,2,2,2,6,5,4,2,3,0,1,0,,,3,3,4,3,,,11,11,4,4,2,2,3,3,3,3,5,4,3,3,2,1,4,2,6,5,9,7,8,8,8,6,,,3,1,6,6,6,6,2,2,6,6,3,2,2,1,3,3,,,1,1,1,1,1,0,3,3,2,1,1,1,1,1,4,4,1,0,,
Algorithms,,,1,0,,,,,1,1,3,2,2,2,2,2,4,4,2,0,2,0,,,,,2,2,4,3,11,9,4,4,3,3,1,1,7,5,2,2,5,5,4,4,3,3,1,1,1,1,2,2,,,5,3,4,4,,,2,2,2,2,,,1,1,,,1,1,,,1,1,1,1,3,3,2,2,1,1,2,2,3,2,3,0,1,1,,
Conversational French,,,3,1,1,0,,,2,1,4,4,3,2,2,2,2,1,3,2,8,4,5,2,6,2,2,2,7,4,11,10,10,8,5,5,8,6,6,6,5,3,3,3,4,1,4,3,3,3,11,10,5,5,5,5,2,2,8,7,3,3,3,2,2,1,,,4,3,2,2,1,1,1,1,1,1,1,1,2,2,4,3,2,2,4,4,2,2,6,4,2,2,3,2
Ethics,,,,,,,1,0,5,4,1,1,3,3,8,6,7,4,1,1,5,3,1,0,1,0,2,1,3,2,11,10,2,1,6,5,4,4,7,7,4,4,4,4,4,4,3,3,2,2,2,2,,,6,4,3,2,,,2,2,1,0,,,2,2,2,2,,,2,2,,,1,1,,,1,1,,,2,2,2,2,,,2,2,1,0,2,1
Evolutionary Biology,,,,,,,,,1,1,1,1,2,2,2,2,2,2,2,1,3,2,2,1,2,0,3,3,4,4,11,9,4,4,3,3,4,4,9,8,8,6,8,7,11,9,11,8,2,2,4,4,8,8,4,4,1,1,1,0,5,5,1,1,1,1,1,1,2,2,,,2,2,2,2,2,2,1,1,2,1,,,2,2,4,4,3,1,5,2,4,2,1,1
Physics 11,,,,,,,,,,,1,1,2,2,3,3,1,1,3,0,3,1,,,1,0,2,2,2,2,11,10,5,4,4,4,4,4,7,7,5,5,8,6,4,4,4,4,2,2,4,3,4,4,,,1,0,2,2,1,1,,,4,3,2,2,1,1,2,1,,,1,1,1,1,,,1,1,1,1,4,4,1,1,1,1,3,2,,,1,0
Zoology,,,,,,,,,,,1,1,1,1,3,3,1,1,,,3,2,1,0,2,1,5,5,2,2,11,7,7,6,1,1,7,7,5,5,2,2,1,1,8,7,3,1,3,3,3,3,4,4,2,2,,,1,1,3,3,2,2,1,1,,,2,2,,,4,3,3,3,,,,,,,3,3,,,1,1,1,1,1,1,2,1,,
Statistics Graduate Level,,,2,1,1,0,,,1,0,1,1,3,3,2,2,1,1,1,0,3,1,2,1,1,0,3,3,5,5,7,5,6,6,4,4,11,11,6,6,6,6,9,6,8,6,4,2,,,1,0,5,5,2,2,,,2,2,,,1,1,1,1,1,1,2,2,,,1,1,2,2,2,2,1,1,1,1,,,2,2,3,3,1,1,4,4,2,2,1,1
Complex Analysis,,,,,,,1,0,,,,,,,2,2,3,3,,,,,1,0,,,1,1,2,2,5,4,4,3,4,4,7,7,6,6,4,4,11,8,6,5,4,4,,,,,,,2,1,,,,,1,1,3,2,1,1,,,1,1,,,,,,,1,1,,,,,,,,,,,1,1,1,1,1,0,,
Graph Theory and Combinatorics,,,,,,,,,,,,,,,1,1,,,1,1,,,,,,,3,3,2,2,5,4,4,3,6,6,6,6,5,5,4,4,11,8,6,4,4,3,,,,,,,,,,,1,1,,,1,1,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IB Mathematics: Applications and Interpretation,,,,,,,1,1,,,,,3,3,2,1,3,3,1,0,1,0,1,0,2,1,9,6,2,2,6,5,8,8,7,7,2,2,6,5,2,2,11,8,8,7,4,4,1,1,2,2,1,1,2,2,1,0,4,4,3,3,,,1,0,,,5,5,1,1,,,2,1,4,4,2,2,3,3,1,1,2,2,1,1,1,0,,,3,2,1,1
Linear Programming,,,,,,,,,1,1,,,,,2,2,2,1,1,1,,,,,,,1,1,2,2,6,5,4,3,3,3,4,3,7,7,3,3,11,6,6,4,4,3,,,1,1,,,1,1,,,1,1,,,1,1,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,1,1
Medieval Literature,,,,,,,,,1,1,1,1,1,1,2,1,2,2,1,1,1,0,1,0,,,1,0,2,2,7,7,4,2,3,2,7,7,1,1,5,5,2,2,11,9,3,1,,,2,2,1,1,3,3,,,1,1,1,0,3,3,1,1,,,,,1,0,,,1,1,1,1,,,,,,,,,,,,,,,1,0,2,2
AP Physics C: Mechanics,,,,,,,2,2,3,0,2,2,5,5,10,8,9,6,3,1,8,5,7,5,5,3,5,4,,,6,6,5,5,4,4,6,6,9,9,4,3,5,5,4,4,1,1,2,2,2,2,1,1,3,2,,,4,4,1,1,1,1,1,1,2,2,1,1,2,2,,,1,1,,,2,2,,,,,1,1,1,1,6,5,5,4,5,5,4,2
Biotechnology,,,,,,,,,,,,,1,1,4,4,1,1,1,0,1,1,,,2,2,4,4,4,4,10,8,6,6,1,1,7,7,4,3,3,1,3,3,6,5,7,4,,,5,4,1,1,1,1,1,1,1,0,2,2,,,2,2,1,1,,,,,,,3,3,,,1,1,,,,,1,1,,,2,1,,,2,1,1,0
Clinical Psychology,,,,,,,1,0,4,1,1,1,,,3,3,2,2,,,4,0,,,2,2,1,1,3,3,10,8,4,3,3,2,4,4,5,4,1,0,1,1,2,2,2,1,2,2,2,1,,,4,4,1,1,,,,,1,1,,,4,4,,,2,2,2,1,,,1,1,,,,,,,1,1,2,2,,,1,0,1,1,1,0
GRE,,,,,1,0,,,1,0,,,3,3,2,1,3,2,1,1,3,2,2,0,3,3,4,4,8,8,10,9,4,4,2,2,5,5,8,8,3,3,2,2,4,4,2,2,1,1,3,2,4,4,3,3,5,4,1,1,2,2,3,3,3,3,2,2,4,3,1,1,2,2,5,5,2,2,1,1,1,1,2,2,,,2,2,1,1,1,1,4,4,2,2
GRE Quantitative,,,,,,,,,1,0,,,3,3,3,2,3,0,3,1,3,2,2,0,3,2,4,4,9,9,10,9,6,6,2,2,6,6,7,7,3,3,2,2,4,4,1,1,1,1,3,2,4,4,4,4,4,3,1,1,2,2,3,3,4,4,2,2,6,5,,,2,2,5,5,3,3,1,1,1,1,2,2,,,2,2,1,1,2,2,3,3,3,3
Molecular Genetics,,,,,,,,,1,1,,,1,1,3,3,3,3,1,0,3,1,2,0,6,4,1,0,3,3,10,7,3,3,2,2,7,7,6,5,2,2,3,3,7,7,1,0,,,3,3,2,2,,,,,2,2,2,2,3,3,,,2,1,1,1,2,2,1,0,1,1,,,,,,,,,1,1,1,0,1,1,1,1,3,2,,
Physics 12,,,,,,,,,,,1,1,1,1,2,2,1,1,2,0,2,0,,,1,0,2,2,2,2,10,9,5,4,3,3,4,4,6,6,5,5,7,6,4,4,2,2,1,1,3,3,4,4,2,2,1,0,2,2,,,2,2,3,2,2,2,1,1,1,1,,,1,1,1,1,,,1,1,1,1,3,3,1,1,1,1,3,2,,,1,0
Ecology,,,,,,,,,,,,,,,,,3,0,1,0,3,0,2,0,,,3,2,2,2,6,5,5,5,1,1,10,10,5,5,,,3,3,5,5,3,3,2,2,3,3,2,2,3,3,,,1,1,2,2,1,1,2,1,,,2,2,,,1,1,1,1,1,1,1,1,1,1,3,3,1,1,1,1,1,1,1,1,1,0,1,1
Personal Finance,,,,,,,,,1,0,1,1,1,1,1,1,7,5,2,1,2,1,4,1,2,1,8,7,7,6,9,9,5,5,4,4,10,10,2,1,5,4,6,4,4,3,1,0,,,5,4,3,3,5,2,2,1,,,5,5,3,3,3,3,4,3,2,2,1,1,4,3,4,3,4,4,,,,,4,4,4,4,3,3,2,2,2,1,2,1,1,0
Data Structures,,,1,0,,,,,1,1,7,5,4,4,3,3,5,4,5,3,5,2,1,0,1,1,3,3,6,5,7,5,5,5,3,3,5,5,10,7,3,3,6,6,6,5,2,2,1,1,1,1,4,4,4,3,4,2,4,4,2,2,2,2,3,3,1,1,1,1,1,1,1,1,1,1,5,5,1,1,3,3,3,3,3,3,2,2,2,1,3,0,2,1,2,2
JavaScript,,,2,1,,,3,1,3,2,2,2,1,1,4,3,5,4,4,2,5,2,3,1,4,2,4,4,6,5,5,5,5,4,1,0,3,3,10,5,3,2,8,8,1,1,1,1,,,1,1,4,4,3,3,4,3,3,3,4,4,3,3,3,3,1,1,3,2,2,2,2,2,,,3,2,1,1,3,3,6,5,4,4,3,3,3,2,10,8,7,5,4,3
Hindi,,,,,,,,,,,,,1,1,3,2,,,1,0,2,1,1,0,1,0,,,1,1,5,2,3,2,,,9,7,2,2,6,5,10,10,,,1,0,,,1,1,5,4,2,2,2,2,3,3,1,1,1,1,,,2,2,2,2,1,1,3,3,1,1,1,0,,,,,1,1,5,5,1,1,1,1,,,1,0,1,1
IB Further Mathematics,,,,,,,,,,,,,,,1,1,,,,,,,1,0,1,1,8,6,1,1,5,4,5,4,6,6,3,3,4,4,3,3,10,7,8,7,4,4,1,1,,,1,1,2,2,,,1,1,,,1,1,,,,,1,1,,,,,1,0,1,1,,,1,1,2,2,,,,,1,0,1,1,,,,
Non-Euclidean Geometry,,,,,,,,,,,,,,,,,,,,,1,1,,,,,1,1,1,1,6,5,5,5,4,4,7,7,7,7,3,3,10,7,4,3,5,4,1,1,,,,,1,1,1,1,1,0,,,,,1,1,1,1,,,,,,,,,,,,,,,1,1,1,1,,,,,,,2,1,,
Real Analysis,,,,,,,1,0,,,,,,,,,,,1,0,1,0,1,0,1,1,3,3,1,1,5,4,5,5,4,4,7,7,2,2,4,4,10,7,6,4,2,1,,,,,1,1,1,1,1,1,,,2,2,1,0,,,,,1,1,,,,,,,1,1,,,,,1,0,,,,,,,,,,,1,0
Yoga,,,,,1,1,,,,,,,2,1,4,3,2,1,2,1,2,0,2,0,,,2,1,,,6,5,2,0,1,1,2,2,3,3,1,1,,,3,2,2,1,2,1,2,2,10,9,2,2,,,,,1,1,5,4,2,1,1,0,,,,,,,,,,,1,1,1,0,1,1,1,1,,,1,1,2,1,1,1,1,0
European History,,,,,,,,,2,1,,,1,1,1,0,3,3,3,1,4,4,4,2,1,1,1,1,9,9,6,6,5,4,3,2,2,2,6,6,3,3,2,1,3,2,6,4,,,1,1,2,2,4,4,,,,,6,5,2,2,,,1,1,1,1,,,,,1,1,,,,,,,,,,,2,1,,,5,2,4,4,1,1
Macroeconomics,,,1,1,,,,,3,2,6,5,7,7,5,5,4,2,6,3,7,3,8,2,2,2,4,3,9,8,4,3,2,2,1,1,5,5,2,2,2,2,4,3,1,1,2,2,2,1,2,2,2,2,3,3,2,2,,,1,1,,,2,2,1,0,1,1,1,1,2,2,2,2,2,2,,,1,1,,,,,2,2,1,1,3,1,2,1,,
Microeconomics,,,2,1,1,1,1,1,4,3,5,4,8,7,4,4,4,3,7,4,7,3,7,3,2,2,7,7,9,8,9,7,3,2,1,1,6,5,3,3,2,2,4,2,3,3,3,3,1,0,4,4,3,3,5,5,2,1,1,0,4,4,,,2,1,2,1,1,1,4,1,1,1,5,5,6,6,1,1,1,1,2,1,1,1,1,1,,,6,2,7,6,2,1
C++,,,1,0,,,1,1,1,1,1,0,4,3,6,5,6,4,4,2,6,4,2,1,3,1,1,1,7,7,9,9,4,3,2,2,3,3,6,5,1,0,6,6,3,3,2,2,1,1,1,1,5,5,2,2,4,3,5,5,4,4,5,5,2,1,1,1,2,1,3,3,2,2,1,1,3,3,2,2,3,3,3,3,2,2,1,1,2,2,8,6,7,5,4,3
CLEP Introductory Psychology,,,,,,,1,0,1,1,1,1,,,,,,,1,1,,,1,0,1,1,1,0,,,9,7,,,,,3,3,4,3,,,,,,,1,1,1,1,3,3,1,1,5,4,,,1,1,1,1,1,1,3,2,1,1,,,1,0,1,1,,,,,,,1,0,,,3,3,2,2,1,1,2,2,2,2,2,2
Fine arts,,,1,1,,,3,0,2,0,2,2,3,2,2,2,1,1,1,0,4,1,3,3,1,1,1,1,4,4,9,8,2,1,3,3,3,2,6,5,7,4,1,1,3,3,1,0,2,2,4,4,2,2,4,3,,,3,3,3,3,5,3,2,1,,,1,1,,,1,0,,,1,1,,,1,1,3,3,3,3,1,1,2,1,3,1,2,0,2,2
Kinesiology,,,1,1,1,0,1,1,1,1,1,1,2,2,2,2,1,0,3,0,1,0,,,1,1,,,2,2,9,6,2,2,3,3,,,,,,,2,2,5,5,2,2,,,,,,,1,1,1,1,1,1,2,2,2,2,,,1,1,1,1,1,1,1,1,,,,,2,1,1,1,1,1,2,2,,,,,4,4,,,,
Multivariable Calculus,,,,,,,,,3,2,1,1,6,6,8,6,4,3,6,6,2,1,3,3,2,2,6,5,6,6,9,9,7,7,3,3,9,9,8,7,7,5,6,5,5,3,3,2,2,1,,,2,2,1,0,1,1,1,1,1,1,,,2,2,4,4,3,3,1,1,,,2,1,,,,,,,1,1,3,3,2,2,5,4,4,2,3,3,7,5
Public Health,,,,,,,,,3,1,3,2,1,1,3,3,4,2,3,1,1,0,,,2,0,2,1,1,1,9,7,4,3,2,2,6,6,7,7,2,1,2,2,1,0,2,2,2,2,1,0,3,3,3,1,,,,,2,2,2,1,3,1,1,1,1,1,2,2,1,1,,,,,,,1,0,3,3,1,1,1,1,,,2,2,3,2,2,2
Roblox,,,1,1,1,1,1,0,,,,,1,1,1,0,2,1,,,3,3,,,,,,,1,1,9,7,1,1,3,3,3,3,,,1,1,2,2,1,0,1,1,1,1,,,3,3,,,,,3,3,1,1,1,1,,,,,,,,,,,,,,,,,,,1,1,,,,,,,2,1,,,,
"Sports, Exercise and Health Science",,,,,,,1,1,1,1,1,1,1,1,2,1,1,1,1,0,2,0,1,0,2,1,4,3,6,6,9,7,2,2,1,1,4,4,3,3,2,2,1,1,2,2,1,1,2,2,3,2,2,2,3,2,2,2,,,3,3,1,1,1,1,3,3,3,2,,,,,,,,,,,,,1,1,1,1,,,1,1,3,3,1,1,,
Statics and Dynamics,,,,,,,,,3,0,2,2,1,1,3,2,1,1,2,1,3,2,1,0,2,1,2,2,1,1,9,9,,,1,1,5,5,5,4,2,2,,,2,2,2,2,2,2,1,1,4,4,3,1,1,0,1,1,1,1,1,1,,,,,1,1,1,1,,,1,1,1,0,2,2,1,1,1,0,2,2,2,2,1,1,1,1,,,2,2
